Badan Perwakilan Desa,BPD,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Badan Usaha Milik Desa,BUMDES,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Lembaga Pemberdayaan Masyarakat Desa,LPMD,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Badan Penanggulangan Bencana Daerah,BPDP,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Pemberdayaan Kesejahteraan Keluarga,PKK,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Satuan Perlindungan Masyarakat,LINMAS,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Rukun Warga,RW,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Rukun Tetangga,RT,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Pos Pelayanan Terpadu,POSYANDU,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Kelompok Sadar Wisata,POKDARWIS,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Kelompok Tani,POKTANI,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Karang Taruna,KARTAR,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
Pemusalaran Jenazah,,"Jl. Ahmad Yani, Dusun Napel, Sukolilo, Kecamatan Wajak Kabupaten Malang"
